"Example H: a pedestrian ramp (units: kip, in)",,,,,,,,,,,,
,,,,,,,,,,,,
"# node data ...",,,,,,,,,,,,
,,,,,,,,,,,,
148,,,,,"# number of nodes",,,,,,,
,,,,,,,,,,,,
"# CENTER BAY",,,,,,,,,,,,
,,,,,,,,,,,,
#.node,x,y,z,r,"units: inches and kips",,,,,,,
#,in,in,in,in,,,,,,,,
,,,,,,,,,,,,
1,-661,0,0,0,,,,,,,,
2,-541,0,0,0,,,,,,,,
3,-181,0,0,0,,,,,,,,
4,181,0,0,0,,,,,,,,
5,541,0,0,0,,,,,,,,
6,661,0,0,0,,,,,,,,
7,-661,0,60,0,,,,,,,,
8,-541,0,60,0,,,,,,,,
9,541,0,120,0,,,,,,,,
10,661,0,120,0,,,,,,,,
11,-661,0,180,0,,,,,,,,
12,-541,0,180,0,,,,,,,,
13,541,0,240,0,,,,,,,,
14,661,0,240,0,,,,,,,,
15,-661,0,300,0,,,,,,,,
16,-541,0,300,0,,,,,,,,
17,541,0,360,0,,,,,,,,
18,661,0,360,0,,,,,,,,
19,-661,0,420,0,,,,,,,,
20,-541,0,420,0,,,,,,,,
21,541,0,480,0,,,,,,,,
22,661,0,480,0,,,,,,,,
23,-661,0,540,0,,,,,,,,
24,-541,0,540,0,,,,,,,,
25,541,0,600,0,,,,,,,,
26,661,0,600,0,,,,,,,,
27,-661,0,660,0,,,,,,,,
28,-541,0,660,0,,,,,,,,
,,,,,,,,,,,,
29,181,0,20,0,,,,,,,,
30,-181,0,40,0,,,,,,,,
31,-181,0,80,0,,,,,,,,
32,181,0,100,0,,,,,,,,
33,181,0,140,0,,,,,,,,
34,-181,0,160,0,,,,,,,,
35,-181,0,200,0,,,,,,,,
36,181,0,220,0,,,,,,,,
37,181,0,260,0,,,,,,,,
38,-181,0,280,0,,,,,,,,
39,-181,0,320,0,,,,,,,,
40,181,0,340,0,,,,,,,,
41,181,0,380,0,,,,,,,,
42,-181,0,400,0,,,,,,,,
43,-181,0,440,0,,,,,,,,
44,181,0,460,0,,,,,,,,
45,181,0,500,0,,,,,,,,
46,-181,0,520,0,,,,,,,,
47,-181,0,560,0,,,,,,,,
48,181,0,580,0,,,,,,,,
49,181,0,620,0,,,,,,,,
50,-181,0,640,0,,,,,,,,
,,,,,,,,,,,,
"# LEFT BAY",,,,,,,,,,,,
,,,,,,,,,,,,
#.node,x,y,z,r,,,,,,,,
#,in,in,in,in,,,,,,,,
,,,,,,,,,,,,
51,-661,-240,0,0,,,,,,,,
52,-541,-240,0,0,,,,,,,,
53,-181,-240,0,0,,,,,,,,
54,181,-240,0,0,,,,,,,,
55,541,-240,0,0,,,,,,,,
56,661,-240,0,0,,,,,,,,
57,-661,-240,60,0,,,,,,,,
58,-541,-240,60,0,,,,,,,,
59,541,-240,120,0,,,,,,,,
60,661,-240,120,0,,,,,,,,
61,-661,-240,180,0,,,,,,,,
62,-541,-240,180,0,,,,,,,,
63,541,-240,240,0,#,,,,,,,
64,661,-240,240,0,#,,,,,,,
65,-661,-240,300,0,,,,,,,,
66,-541,-240,300,0,,,,,,,,
67,541,-240,360,0,,,,,,,,
68,661,-240,360,0,,,,,,,,
69,-661,-240,420,0,,,,,,,,
70,-541,-240,420,0,,,,,,,,
71,541,-240,480,0,,,,,,,,
72,661,-240,480,0,,,,,,,,
73,-661,-240,540,0,,,,,,,,
74,-541,-240,540,0,,,,,,,,
75,541,-240,600,0,,,,,,,,
76,661,-240,600,0,,,,,,,,
77,-661,-240,660,0,,,,,,,,
78,-541,-240,660,0,,,,,,,,
,,,,,,,,,,,,
79,181,-240,20,0,,,,,,,,
80,-181,-240,40,0,,,,,,,,
81,-181,-240,80,0,,,,,,,,
82,181,-240,100,0,,,,,,,,
83,181,-240,140,0,,,,,,,,
84,-181,-240,160,0,,,,,,,,
85,-181,-240,200,0,,,,,,,,
86,181,-240,220,0,,,,,,,,
87,181,-240,260,0,,,,,,,,
88,-181,-240,280,0,,,,,,,,
89,-181,-240,320,0,,,,,,,,
90,181,-240,340,0,,,,,,,,
91,181,-240,380,0,,,,,,,,
92,-181,-240,400,0,,,,,,,,
93,-181,-240,440,0,,,,,,,,
94,181,-240,460,0,,,,,,,,
95,181,-240,500,0,,,,,,,,
96,-181,-240,520,0,,,,,,,,
97,-181,-240,560,0,,,,,,,,
98,181,-240,580,0,,,,,,,,
99,181,-240,620,0,,,,,,,,
100,-181,-240,640,0,,,,,,,,
,,,,,,,,,,,,
"# RIGHT BAY",,,,,,,,,,,,
,,,,,,,,,,,,
#.node,x,y,z,r,,,,,,,,
#,in,in,in,in,,,,,,,,
,,,,,,,,,,,,
101,-661,240,0,0,,,,,,,,
102,-541,240,0,0,,,,,,,,
103,-181,240,0,0,,,,,,,,
104,181,240,0,0,,,,,,,,
105,541,240,0,0,,,,,,,,
106,661,240,0,0,,,,,,,,
107,-661,240,60,0,,,,,,,,
108,-541,240,60,0,,,,,,,,
109,541,240,120,0,,,,,,,,
110,661,240,120,0,,,,,,,,
111,-661,240,180,0,,,,,,,,
112,-541,240,180,0,,,,,,,,
113,541,240,240,0,#,,,,,,,
114,661,240,240,0,#,,,,,,,
115,-661,240,300,0,,,,,,,,
116,-541,240,300,0,,,,,,,,
117,541,240,360,0,,,,,,,,
118,661,240,360,0,,,,,,,,
119,-661,240,420,0,,,,,,,,
120,-541,240,420,0,,,,,,,,
121,541,240,480,0,,,,,,,,
122,661,240,480,0,,,,,,,,
123,-661,240,540,0,,,,,,,,
124,-541,240,540,0,,,,,,,,
125,541,240,600,0,,,,,,,,
126,661,240,600,0,,,,,,,,
127,-661,240,660,0,,,,,,,,
128,-541,240,660,0,,,,,,,,
,,,,,,,,,,,,
129,181,240,20,0,,,,,,,,
130,-181,240,40,0,,,,,,,,
131,-181,240,80,0,,,,,,,,
132,181,240,100,0,,,,,,,,
133,181,240,140,0,,,,,,,,
134,-181,240,160,0,,,,,,,,
135,-181,240,200,0,,,,,,,,
136,181,240,220,0,,,,,,,,
137,181,240,260,0,,,,,,,,
138,-181,240,280,0,,,,,,,,
139,-181,240,320,0,,,,,,,,
140,181,240,340,0,,,,,,,,
141,181,240,380,0,,,,,,,,
142,-181,240,400,0,,,,,,,,
143,-181,240,440,0,,,,,,,,
144,181,240,460,0,,,,,,,,
145,181,240,500,0,,,,,,,,
146,-181,240,520,0,,,,,,,,
147,-181,240,560,0,,,,,,,,
148,181,240,580,0,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"# reaction data ...",,,,,,,,,,,,
,,,,,,,,,,,,
36,,,,,"# number of nodes with reactions",,,,,,,
#.n,x,y,z,xx,yy,zz,"1=fixed,",0=free,,,,
,,,,,,,,,,,,
1,1,1,1,1,1,1,,,,,,
2,1,1,1,1,1,1,,,,,,
3,1,1,1,1,1,1,,,,,,
4,1,1,1,1,1,1,,,,,,
5,1,1,1,1,1,1,,,,,,
6,1,1,1,1,1,1,,,,,,
51,1,1,1,1,1,1,,,,,,
52,1,1,1,1,1,1,,,,,,
53,1,1,1,1,1,1,,,,,,
54,1,1,1,1,1,1,,,,,,
55,1,1,1,1,1,1,,,,,,
56,1,1,1,1,1,1,,,,,,
101,1,1,1,1,1,1,,,,,,
102,1,1,1,1,1,1,,,,,,
103,1,1,1,1,1,1,,,,,,
104,1,1,1,1,1,1,,,,,,
105,1,1,1,1,1,1,,,,,,
106,1,1,1,1,1,1,,,,,,
,,,,,,,,,,,,
27,1,1,1,0,0,0,,"# pinned to staium",,,,
77,1,1,1,0,0,0,,,,,,
127,1,1,1,0,0,0,,,,,,
23,1,1,1,0,0,0,,,,,,
73,1,1,1,0,0,0,,,,,,
123,1,1,1,0,0,0,,,,,,
19,1,1,1,0,0,0,,,,,,
69,1,1,1,0,0,0,,,,,,
119,1,1,1,0,0,0,,,,,,
15,1,1,1,0,0,0,,,,,,
65,1,1,1,0,0,0,,,,,,
115,1,1,1,0,0,0,,,,,,
11,1,1,1,0,0,0,,,,,,
61,1,1,1,0,0,0,,,,,,
111,1,1,1,0,0,0,,,,,,
7,1,1,1,0,0,0,,,,,,
57,1,1,1,0,0,0,,,,,,
107,1,1,1,0,0,0,,,,,,
,,,,,,,,,,,,
"# frame element data ...",,,,,,,,,,,,
,,,,,,,,,,,,
295,,,,,"# number of frame elements",,,,,,,
,,,,,,,,,,,,
"# CENTER BAY six main columns",,,,,"tube 14 x 14 x 1/2",,,,,,,
,,,,,,,,,,,,
#.m,n1,n2,Ax,Asy,Asz,Jxx,Iyy,Izz,E,G,roll,density
#,.,.,in^2,in^2,in^2,in^4,in^4,in^4,ksi,ksi,deg,k/in^2/g
,,,,,,,,,,,,
1,1,7,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
2,7,11,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
3,11,15,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
4,15,19,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
5,19,23,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
6,23,27,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
7,2,8,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
8,8,12,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
9,12,16,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
10,16,20,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
11,20,24,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
12,24,28,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
13,5,9,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
14,9,13,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
15,13,17,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
16,17,21,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
17,21,25,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
18,6,10,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
19,10,14,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
20,14,18,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
21,18,22,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
22,22,26,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
23,3,30,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
24,30,31,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
25,31,34,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
26,34,35,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
27,35,38,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
28,38,39,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
29,39,42,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
30,42,43,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
31,43,46,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
32,46,47,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
33,47,50,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
34,4,29,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
35,29,32,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
36,32,33,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
37,33,36,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
38,36,37,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
39,37,40,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
40,40,41,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
41,41,44,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
42,44,45,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
43,45,48,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
44,48,49,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
,,,,,,,,,,,,
"# CENTER BAY horizontal floor beams",,,,,,"tube 10 x 10 x 1/2",,,,,,
,,,,,,,,,,,,
#.m,n1,n2,Ax,Asy,Asz,Jxx,Iyy,Izz,E,G,roll,density
#,in^2,in^2,in^2,in^4,in^4,in^4,ksi,ksi,deg,k/in^2/g,,
,,,,,,,,,,,,
45,7,8,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
46,11,12,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
47,15,16,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
48,19,20,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
49,23,24,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
50,27,28,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
51,9,10,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
52,13,14,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
53,17,18,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
54,21,22,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
55,25,26,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
,,,,,,,,,,,,
"# CENTER BAY inclined floor beams",,,,,,"tube 10 x 10 x 1/2",,,,,,
,,,,,,,,,,,,
#.m,n1,n2,Ax,Asy,Asz,Jxx,Iyy,Izz,E,G,roll,density
#,in^2,in^2,in^2,in^4,in^4,in^4,ksi,ksi,deg,k/in^2/g,,
,,,,,,,,,,,,
56,5,29,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
57,29,30,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
58,30,8,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
59,8,31,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
60,31,32,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
61,32,9,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
62,9,33,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
63,33,34,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
64,34,12,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
65,12,35,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
66,35,36,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
67,36,13,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
68,13,37,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
69,37,38,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
70,38,16,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
71,16,39,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
72,39,40,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
73,40,17,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
74,17,41,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
75,41,42,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
76,42,20,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
77,20,43,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
78,43,44,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
79,44,21,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
80,21,45,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
81,45,46,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
82,46,24,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
83,24,47,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
84,47,48,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
85,48,25,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
86,25,49,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
87,49,50,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
88,50,28,20.1,10.2,10.2,20.2,286.6,286.6,29000,11500,0,7.324E-07
,,,,,,,,,,,,
,,,,,,,,,,,,
"# LEFT-BAY six main columns",,,,,"tube 14 x 14 x 1/2",,,,,,,
,,,,,,,,,,,,
#.m,n1,n2,Ax,Asy,Asz,Jxx,Iyy,Izz,E,G,roll,density
#,in^2,in^2,in^2,in^4,in^4,in^4,ksi,ksi,deg,k/in^2/g,,
,,,,,,,,,,,,
89,51,57,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
90,57,61,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
91,61,65,28.1,14.2,14.2,28.2,821.1,821.2,29000,11500,0,7.324E-07
